Customer ID,Gender,Age,Senior Citizen,Partner,Dependents,Tenure,Subscription Type,Contract Type,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Support Tickets,Login Frequency,Usage Hours,Device Protection,Tech Support,Online Security,Churn
CUST-0040,Male,21,0,Yes,No,4,Basic,Monthly,Yes,Bank transfer,53.7,214.8,2,12,48.7,No,Yes,No,Yes
CUST-0041,Male,48,0,Yes,Yes,44,Premium,Monthly,Yes,Electronic check,80.15,3526.6,1,19,109.4,No,No,Yes,No
CUST-0042,Male,35,0,No,No,45,Basic,Monthly,Yes,Electronic check,41.58,1871.1,1,15,98.3,Yes,No,No,No
CUST-0043,Female,55,0,Yes,No,29,Basic,Annual,Yes,Credit card,29.79,863.91,1,10,76.7,No,No,Yes,No
CUST-0044,Female,41,0,Yes,No,22,Basic,Monthly,Yes,Electronic check,18.0,396.0,2,20,114.6,Yes,No,No,No
CUST-0045,Female,73,1,Yes,No,13,Basic,Annual,Yes,Electronic check,30.36,394.68,2,16,73.2,No,No,Yes,No
CUST-0046,Female,40,0,No,No,15,Premium,Monthly,Yes,Electronic check,62.91,943.65,4,11,62.9,No,No,Yes,No
CUST-0047,Female,39,0,Yes,No,37,Basic,Annual,No,Mailed check,52.07,1926.59,0,22,155.3,No,No,Yes,No
CUST-0048,Male,19,0,Yes,No,3,Basic,Annual,No,Mailed check,45.75,137.25,5,14,61.4,No,No,Yes,No
CUST-0049,Female,48,0,No,No,29,Premium,Annual,No,Bank transfer,82.41,2389.89,1,24,113.8,No,No,No,No
CUST-0050,Female,72,0,Yes,Yes,11,Basic,Annual,No,Electronic check,55.91,615.01,3,9,45.9,Yes,No,No,No
CUST-0051,Male,28,0,Yes,No,21,Premium,Monthly,No,Bank transfer,73.55,1544.55,4,13,75.7,No,No,No,No
CUST-0052,Female,45,0,Yes,Yes,27,Basic,Monthly,Yes,Mailed check,63.64,1718.28,1,15,115.0,Yes,Yes,No,No
CUST-0053,Male,63,0,Yes,Yes,72,Basic,Annual,Yes,Electronic check,38.15,2746.8,0,26,183.6,No,No,No,No
CUST-0054,Female,49,0,No,No,29,Basic,Monthly,Yes,Bank transfer,51.48,1492.92,0,22,142.9,No,No,No,Yes
CUST-0055,Male,79,1,Yes,No,9,Basic,Monthly,Yes,Mailed check,29.34,264.06,1,18,130.1,No,No,No,No
CUST-0056,Female,22,0,Yes,Yes,3,Basic,Monthly,No,Bank transfer,46.83,140.49,3,13,97.9,No,No,Yes,Yes
CUST-0057,Female,55,0,Yes,No,33,Basic,Annual,Yes,Credit card,43.39,1431.87,1,16,93.6,Yes,No,No,No
CUST-0058,Male,27,0,Yes,No,26,Basic,Annual,No,Electronic check,40.59,1055.34,0,26,181.2,No,No,No,No
CUST-0059,Male,57,0,Yes,Yes,37,Basic,Monthly,Yes,Credit card,38.05,1407.85,0,20,154.0,No,No,No,No
CUST-0060,Male,63,0,No,No,21,Basic,Annual,No,Electronic check,51.02,1071.42,2,21,128.7,No,No,Yes,No
CUST-0061,Male,41,0,No,No,58,Basic,Annual,No,Electronic check,31.66,1836.28,0,26,183.4,Yes,No,No,No
CUST-0062,Male,52,0,Yes,No,72,Basic,Monthly,Yes,Bank transfer,18.0,1296.0,0,30,237.9,Yes,No,No,No
CUST-0063,Male,61,0,Yes,No,2,Basic,Annual,Yes,Electronic check,44.0,88.0,5,8,47.1,No,No,Yes,Yes
CUST-0064,Male,65,1,No,No,45,Basic,Annual,No,Mailed check,60.93,2741.85,0,20,133.8,Yes,No,No,No
CUST-0065,Male,77,1,No,No,2,Premium,Monthly,No,Electronic check,69.74,139.48,5,12,69.4,Yes,No,No,Yes
CUST-0066,Female,79,1,No,No,20,Basic,Monthly,No,Mailed check,46.23,924.6,2,24,164.7,No,Yes,No,No
CUST-0067,Female,40,0,Yes,No,21,Basic,Monthly,No,Credit card,44.97,944.37,1,14,77.7,No,No,Yes,No
CUST-0068,Male,34,0,Yes,No,40,Basic,Annual,Yes,Electronic check,53.15,2126.0,1,26,117.3,Yes,No,No,No
CUST-0069,Female,18,0,Yes,No,15,Basic,Monthly,Yes,Mailed check,46.41,696.15,2,19,143.5,No,No,Yes,No
CUST-0070,Female,72,1,Yes,Yes,57,Premium,Annual,No,Bank transfer,84.58,4821.06,1,13,89.0,Yes,Yes,No,No
CUST-0071,Female,48,0,Yes,Yes,14,Basic,Annual,Yes,Electronic check,20.75,290.5,4,15,119.7,Yes,No,Yes,No
CUST-0072,Female,48,0,Yes,No,14,Basic,Monthly,Yes,Electronic check,46.31,648.34,0,12,82.9,No,No,No,No
CUST-0073,Male,59,0,No,No,9,Basic,Monthly,Yes,Mailed check,34.84,313.56,3,18,132.8,No,Yes,No,Yes
CUST-0074,Female,74,0,No,Yes,38,Premium,Monthly,No,Electronic check,82.1,3119.8,1,17,133.1,No,Yes,Yes,Yes
CUST-0075,Male,72,1,Yes,No,3,Basic,Monthly,No,Electronic check,46.38,139.14,3,15,63.6,No,No,Yes,Yes
CUST-0076,Female,59,0,Yes,Yes,15,Premium,Monthly,Yes,Credit card,78.71,1180.65,4,12,89.1,No,No,No,Yes
CUST-0077,Female,70,0,Yes,Yes,11,Basic,Monthly,Yes,Electronic check,46.77,514.47,3,9,40.0,No,Yes,No,Yes
CUST-0078,Female,73,1,No,Yes,9,Basic,Annual,Yes,Credit card,53.01,477.09,5,14,105.2,Yes,Yes,No,No
CUST-0079,Male,51,0,No,No,3,Basic,Monthly,No,Credit card,22.44,67.32,6,10,70.9,No,Yes,No,Yes
CUST-0080,Female,26,0,No,No,7,Basic,Monthly,No,Electronic check,59.47,416.29,5,7,41.0,Yes,Yes,Yes,Yes
CUST-0081,Male,39,0,No,Yes,20,Basic,Monthly,Yes,Mailed check,44.53,890.6,3,24,174.1,Yes,No,No,Yes
CUST-0082,Female,30,0,Yes,No,24,Basic,Monthly,Yes,Credit card,60.29,1446.96,2,14,78.5,Yes,No,Yes,No
CUST-0083,Male,42,0,No,Yes,11,Basic,Annual,No,Bank transfer,40.24,442.64,3,16,110.6,No,No,Yes,No
CUST-0084,Female,65,1,No,No,35,Basic,Monthly,Yes,Credit card,72.66,2543.1,1,13,62.3,No,No,Yes,Yes
CUST-0085,Male,35,0,Yes,Yes,14,Basic,Monthly,Yes,Mailed check,67.01,938.14,1,16,68.6,No,No,No,No
CUST-0086,Male,68,1,Yes,No,16,Basic,Annual,Yes,Bank transfer,44.87,717.92,2,20,133.2,Yes,No,No,No
CUST-0087,Female,29,0,Yes,No,51,Basic,Monthly,No,Electronic check,42.61,2173.11,1,28,158.3,No,Yes,No,No
CUST-0088,Male,57,0,No,No,27,Basic,Monthly,Yes,Bank transfer,18.0,486.0,0,17,83.0,Yes,Yes,No,Yes
CUST-0089,Female,34,0,Yes,Yes,72,Basic,Annual,No,Bank transfer,41.91,3017.52,1,30,139.5,Yes,No,No,No
CUST-0090,Female,32,0,No,Yes,15,Basic,Monthly,Yes,Electronic check,49.09,736.35,3,16,120.0,Yes,Yes,Yes,No
CUST-0091,Female,59,0,No,No,58,Premium,Monthly,Yes,Mailed check,94.76,5496.08,3,19,102.5,No,No,No,No
CUST-0092,Female,32,0,No,No,45,Basic,Monthly,Yes,Electronic check,47.75,2148.75,0,19,138.8,No,No,Yes,No
CUST-0093,Female,32,0,No,No,72,Premium,Monthly,No,Mailed check,102.29,7364.88,0,26,122.0,No,No,No,No
CUST-0094,Female,72,1,Yes,No,72,Premium,Annual,No,Electronic check,90.51,6516.72,0,25,146.1,No,No,No,No
CUST-0095,Female,56,0,Yes,No,1,Premium,Annual,Yes,Credit card,98.21,98.21,5,8,46.0,No,No,No,Yes
CUST-0096,Female,30,0,No,No,4,Basic,Annual,Yes,Mailed check,35.46,141.84,1,19,93.5,Yes,No,No,No
CUST-0097,Female,34,0,Yes,No,37,Premium,Monthly,Yes,Electronic check,76.77,2840.49,2,21,100.5,Yes,No,Yes,No
CUST-0098,Female,49,0,No,Yes,17,Premium,Annual,Yes,Mailed check,119.96,2039.32,1,25,149.5,Yes,Yes,Yes,No
CUST-0099,Female,26,0,No,No,57,Premium,Annual,No,Credit card,77.06,4392.42,0,30,174.6,Yes,No,No,No
CUST-0100,Male,57,0,Yes,No,1,Basic,Monthly,No,Electronic check,40.95,40.95,2,17,121.3,Yes,Yes,No,Yes
CUST-0101,Male,37,0,Yes,No,55,Premium,Annual,Yes,Electronic check,106.23,5842.65,0,29,171.0,No,No,No,No
CUST-0102,Female,43,0,No,Yes,5,Premium,Annual,No,Electronic check,91.11,455.55,2,14,74.6,No,No,Yes,No
CUST-0103,Female,44,0,Yes,No,12,Basic,Monthly,No,Bank transfer,53.53,642.36,3,10,59.2,No,Yes,No,Yes
CUST-0104,Female,38,0,No,No,72,Premium,Monthly,Yes,Bank transfer,111.13,8001.36,0,30,230.2,Yes,No,No,No
CUST-0105,Female,35,0,Yes,No,2,Basic,Annual,Yes,Mailed check,46.09,92.18,1,15,68.9,No,No,No,Yes
CUST-0106,Female,30,0,No,Yes,15,Premium,Monthly,Yes,Credit card,101.91,1528.65,4,13,99.7,Yes,Yes,No,Yes
CUST-0107,Female,33,0,No,No,3,Premium,Monthly,Yes,Electronic check,103.33,309.99,2,15,101.9,No,No,No,Yes
CUST-0108,Female,26,0,Yes,Yes,64,Basic,Annual,Yes,Credit card,32.38,2072.32,1,24,159.9,Yes,No,No,No
CUST-0109,Female,29,0,Yes,No,40,Premium,Monthly,No,Electronic check,74.13,2965.2,0,24,137.6,Yes,No,Yes,No
CUST-0110,Male,61,0,No,No,53,Premium,Monthly,Yes,Electronic check,125.0,6625.0,1,29,157.9,No,Yes,No,No
CUST-0111,Female,55,0,Yes,No,25,Basic,Annual,Yes,Electronic check,51.54,1288.5,0,12,83.8,Yes,Yes,No,No
CUST-0112,Male,36,0,Yes,No,15,Basic,Monthly,No,Credit card,32.0,480.0,3,15,96.6,No,No,Yes,No
CUST-0113,Female,77,0,No,No,1,Premium,Monthly,No,Mailed check,125.0,125.0,8,9,59.5,Yes,No,No,Yes
CUST-0114,Female,24,0,No,No,11,Basic,Annual,No,Electronic check,22.7,249.7,0,17,110.1,No,Yes,Yes,Yes
CUST-0115,Male,74,1,Yes,Yes,24,Basic,Monthly,No,Mailed check,31.86,764.64,0,22,93.2,No,Yes,Yes,No
CUST-0116,Female,52,0,Yes,No,36,Premium,Annual,Yes,Bank transfer,87.96,3166.56,1,12,72.8,No,Yes,No,No
CUST-0117,Male,65,1,No,No,9,Premium,Monthly,Yes,Mailed check,109.68,987.12,3,16,87.1,Yes,Yes,No,Yes
CUST-0118,Female,35,0,No,Yes,5,Basic,Annual,No,Credit card,39.16,195.8,5,9,64.9,No,No,Yes,Yes
CUST-0119,Female,33,0,No,No,8,Basic,Monthly,No,Electronic check,43.44,347.52,3,14,89.0,Yes,No,Yes,Yes
CUST-0120,Male,72,0,No,Yes,15,Basic,Monthly,Yes,Mailed check,26.55,398.25,4,17,97.6,No,No,Yes,No
CUST-0121,Female,56,0,No,Yes,6,Premium,Monthly,Yes,Mailed check,92.47,554.82,3,17,135.5,No,No,Yes,Yes
CUST-0122,Male,21,0,No,No,6,Premium,Monthly,Yes,Bank transfer,90.88,545.28,3,16,107.1,Yes,No,No,No
CUST-0123,Female,76,1,No,No,2,Basic,Monthly,No,Credit card,21.05,42.1,3,11,82.8,Yes,Yes,Yes,No
CUST-0124,Male,42,0,No,No,64,Basic,Annual,No,Electronic check,40.22,2574.08,0,27,207.5,No,Yes,No,No
CUST-0125,Male,49,0,Yes,No,9,Basic,Annual,No,Credit card,31.52,283.68,2,11,76.7,Yes,No,Yes,No
CUST-0126,Female,79,1,Yes,No,57,Premium,Monthly,Yes,Credit card,116.57,6644.49,0,22,124.9,Yes,No,No,No
CUST-0127,Female,57,0,Yes,Yes,19,Basic,Monthly,Yes,Credit card,49.04,931.76,1,15,89.5,Yes,Yes,Yes,Yes
CUST-0128,Male,30,0,No,Yes,33,Premium,Monthly,Yes,Electronic check,117.1,3864.3,4,14,64.9,No,Yes,Yes,No
CUST-0129,Female,62,0,Yes,No,3,Basic,Monthly,Yes,Credit card,18.0,54.0,1,20,129.3,Yes,No,No,No
CUST-0130,Female,34,0,No,No,29,Premium,Monthly,No,Credit card,79.48,2304.92,1,23,139.1,Yes,Yes,No,No
CUST-0131,Female,66,0,Yes,No,12,Basic,Monthly,Yes,Bank transfer,34.16,409.92,3,15,72.8,Yes,No,Yes,Yes
CUST-0132,Male,54,0,No,No,4,Premium,Monthly,Yes,Electronic check,82.82,331.28,4,15,62.5,No,Yes,No,Yes
CUST-0133,Male,23,0,No,Yes,72,Premium,Annual,No,Mailed check,99.69,7177.68,0,26,194.4,No,Yes,No,No
CUST-0134,Male,36,0,Yes,No,31,Premium,Annual,Yes,Credit card,90.69,2811.39,2,17,70.1,No,No,Yes,No
CUST-0135,Male,30,0,No,No,10,Premium,Monthly,No,Mailed check,79.86,798.6,2,13,71.8,No,No,No,Yes
CUST-0136,Male,74,1,Yes,No,18,Basic,Monthly,Yes,Mailed check,87.68,1578.24,5,15,93.6,Yes,Yes,No,No
CUST-0137,Male,77,1,Yes,Yes,15,Basic,Monthly,No,Electronic check,47.88,718.2,1,13,79.5,Yes,Yes,Yes,No
CUST-0138,Male,43,0,Yes,No,40,Basic,Annual,No,Electronic check,18.0,720.0,0,22,135.0,No,No,No,No
CUST-0139,Male,31,0,Yes,Yes,31,Basic,Monthly,Yes,Mailed check,55.89,1732.59,0,19,93.2,No,Yes,No,No
CUST-0140,Male,48,0,Yes,No,1,Basic,Annual,Yes,Bank transfer,81.04,81.04,1,15,79.9,No,No,No,No
CUST-0141,Female,71,0,Yes,Yes,8,Premium,Annual,Yes,Electronic check,105.91,847.28,3,13,52.3,No,No,No,Yes
CUST-0142,Male,21,0,Yes,No,22,Premium,Annual,Yes,Credit card,79.49,1748.78,4,19,146.3,No,Yes,Yes,No
CUST-0143,Female,77,0,Yes,No,20,Basic,Annual,Yes,Mailed check,38.29,765.8,1,28,179.8,No,No,No,No
CUST-0144,Female,56,0,Yes,No,24,Premium,Annual,No,Credit card,107.19,2572.56,4,14,101.8,No,No,No,No
CUST-0145,Female,25,0,No,No,42,Basic,Monthly,Yes,Bank transfer,30.9,1297.8,0,16,110.2,Yes,Yes,No,No
CUST-0146,Male,42,0,No,Yes,38,Premium,Annual,Yes,Electronic check,92.69,3522.22,0,16,100.1,Yes,No,No,No
CUST-0147,Male,30,0,Yes,No,16,Basic,Annual,Yes,Credit card,31.45,503.2,1,23,139.3,No,No,No,No
CUST-0148,Male,49,0,No,No,69,Basic,Monthly,No,Bank transfer,53.84,3714.96,0,28,162.0,Yes,Yes,Yes,No
CUST-0149,Male,76,0,No,No,3,Basic,Annual,No,Electronic check,57.13,171.39,0,14,87.0,No,Yes,Yes,No
CUST-0150,Female,55,0,Yes,No,29,Premium,Annual,Yes,Mailed check,114.87,3331.23,1,15,72.1,Yes,Yes,No,No
CUST-0151,Male,55,0,Yes,No,72,Premium,Monthly,Yes,Mailed check,110.19,7933.68,0,29,161.9,No,No,No,No
CUST-0152,Male,73,1,No,No,27,Basic,Annual,Yes,Credit card,66.29,1789.83,2,22,136.5,No,Yes,No,Yes
CUST-0153,Male,45,0,Yes,No,20,Basic,Annual,Yes,Electronic check,69.38,1387.6,1,12,83.2,Yes,No,No,No
CUST-0154,Male,70,0,Yes,No,5,Premium,Monthly,Yes,Mailed check,74.04,370.2,4,12,85.7,No,No,No,Yes
CUST-0155,Male,47,0,Yes,Yes,55,Basic,Annual,Yes,Electronic check,33.32,1832.6,1,23,171.3,No,No,No,No
CUST-0156,Female,20,0,No,Yes,16,Basic,Annual,No,Electronic check,31.28,500.48,0,11,59.4,No,Yes,No,No
CUST-0157,Male,45,0,Yes,Yes,40,Basic,Monthly,Yes,Electronic check,47.46,1898.4,0,25,159.0,No,Yes,No,No
CUST-0158,Female,20,0,No,Yes,8,Premium,Annual,No,Electronic check,85.5,684.0,0,26,159.9,No,No,No,No
CUST-0159,Male,62,0,Yes,No,2,Basic,Annual,Yes,Electronic check,39.27,78.54,2,14,78.5,No,No,No,No
CUST-0160,Female,71,1,Yes,Yes,12,Basic,Annual,No,Mailed check,61.07,732.84,3,16,85.5,Yes,No,No,No
CUST-0161,Male,51,0,No,Yes,11,Basic,Monthly,No,Bank transfer,53.28,586.08,1,13,52.5,No,Yes,Yes,No
CUST-0162,Male,33,0,Yes,No,68,Premium,Monthly,No,Mailed check,87.55,5953.4,0,18,84.8,No,No,Yes,No
CUST-0163,Female,39,0,No,No,66,Basic,Annual,No,Electronic check,56.84,3751.44,0,25,113.7,No,Yes,No,No
CUST-0164,Female,49,0,No,No,26,Premium,Monthly,Yes,Electronic check,99.33,2582.58,5,19,98.8,No,No,No,No
CUST-0165,Female,78,1,Yes,No,1,Basic,Monthly,Yes,Electronic check,49.39,49.39,3,16,87.0,No,No,No,Yes
CUST-0166,Male,55,0,Yes,Yes,9,Basic,Annual,No,Credit card,55.03,495.27,4,11,56.3,No,Yes,No,Yes
CUST-0167,Female,25,0,No,Yes,34,Premium,Annual,No,Electronic check,58.2,1978.8,1,24,172.1,Yes,No,No,No
CUST-0168,Male,72,1,No,No,4,Basic,Monthly,Yes,Electronic check,31.59,126.36,3,14,67.1,No,Yes,Yes,Yes
CUST-0169,Male,25,0,Yes,No,40,Premium,Annual,No,Mailed check,79.71,3188.4,1,9,45.5,No,No,No,No
CUST-0170,Female,79,1,Yes,No,1,Premium,Annual,No,Credit card,95.49,95.49,5,9,54.1,Yes,No,No,Yes
CUST-0171,Female,74,0,Yes,No,38,Premium,Monthly,Yes,Electronic check,106.52,4047.76,0,15,77.1,Yes,No,No,No
CUST-0172,Male,23,0,Yes,Yes,62,Basic,Annual,Yes,Electronic check,37.25,2309.5,1,30,227.5,Yes,No,No,No
CUST-0173,Male,31,0,Yes,No,21,Premium,Monthly,Yes,Credit card,80.98,1700.58,2,15,96.7,No,No,No,No
CUST-0174,Female,49,0,No,Yes,58,Premium,Annual,Yes,Bank transfer,62.47,3623.26,2,25,133.7,No,No,No,No
CUST-0175,Female,52,0,No,No,50,Premium,Monthly,No,Bank transfer,100.55,5027.5,1,30,174.3,No,No,No,No
CUST-0176,Female,27,0,No,No,37,Premium,Monthly,Yes,Credit card,77.33,2861.21,0,27,153.6,No,No,No,No
CUST-0177,Male,20,0,No,No,20,Basic,Monthly,Yes,Mailed check,49.56,991.2,5,18,136.1,No,Yes,Yes,No
CUST-0178,Male,76,1,Yes,No,11,Premium,Monthly,No,Electronic check,81.7,898.7,3,16,101.4,No,Yes,No,No
CUST-0179,Male,29,0,No,No,65,Basic,Monthly,No,Electronic check,53.32,3465.8,0,19,104.3,No,Yes,No,No
CUST-0180,Male,66,1,Yes,No,35,Basic,Monthly,Yes,Bank transfer,50.49,1767.15,1,21,125.6,No,No,No,No
CUST-0181,Male,76,1,Yes,No,53,Premium,Monthly,Yes,Electronic check,68.3,3619.9,0,20,109.0,Yes,No,No,No
CUST-0182,Male,48,0,Yes,No,27,Premium,Monthly,No,Mailed check,108.1,2918.7,1,13,92.0,No,Yes,No,Yes
CUST-0183,Female,46,0,Yes,No,7,Premium,Monthly,Yes,Mailed check,99.46,696.22,2,15,61.1,No,Yes,Yes,Yes
CUST-0184,Male,22,0,Yes,No,72,Premium,Annual,Yes,Bank transfer,111.25,8010.0,2,30,179.7,No,No,No,No
CUST-0185,Male,79,1,No,No,7,Basic,Monthly,No,Electronic check,24.19,169.33,2,11,54.9,Yes,Yes,Yes,Yes
CUST-0186,Male,69,1,Yes,Yes,72,Basic,Monthly,Yes,Bank transfer,28.36,2041.92,0,30,147.9,Yes,No,No,No
CUST-0187,Female,42,0,Yes,No,8,Basic,Annual,Yes,Credit card,39.18,313.44,2,12,56.9,No,No,Yes,Yes
CUST-0188,Male,58,0,Yes,No,16,Basic,Monthly,Yes,Electronic check,42.65,682.4,2,15,90.0,No,Yes,No,Yes
CUST-0189,Male,48,0,No,No,20,Basic,Monthly,Yes,Electronic check,40.95,819.0,2,17,75.2,No,No,No,No
CUST-0190,Female,79,1,Yes,No,72,Premium,Monthly,No,Bank transfer,65.74,4733.28,1,17,103.3,No,Yes,No,No
CUST-0191,Male,38,0,Yes,Yes,72,Basic,Annual,Yes,Electronic check,48.98,3526.56,0,30,192.4,No,Yes,No,No
CUST-0192,Male,75,0,Yes,Yes,57,Basic,Annual,Yes,Mailed check,40.72,2321.04,0,26,197.5,Yes,No,No,No
CUST-0193,Male,37,0,No,No,16,Basic,Monthly,No,Bank transfer,39.29,628.64,4,9,63.6,Yes,Yes,No,Yes
CUST-0194,Male,56,0,Yes,Yes,1,Premium,Annual,No,Credit card,95.25,95.25,3,11,72.6,No,Yes,No,Yes
CUST-0195,Male,39,0,No,Yes,38,Basic,Monthly,No,Electronic check,48.65,1848.7,2,25,180.7,Yes,No,Yes,No
CUST-0196,Female,21,0,No,Yes,18,Basic,Monthly,Yes,Mailed check,43.2,777.6,4,17,91.9,No,Yes,Yes,Yes
CUST-0197,Female,30,0,Yes,Yes,47,Basic,Monthly,Yes,Electronic check,30.44,1430.68,0,25,153.2,No,No,Yes,No
CUST-0198,Female,62,0,No,No,53,Basic,Annual,Yes,Electronic check,24.23,1284.19,0,26,112.9,No,No,Yes,No
CUST-0199,Male,59,0,No,No,20,Premium,Monthly,Yes,Electronic check,108.23,2164.6,1,21,127.9,Yes,Yes,Yes,No
CUST-0200,Male,67,1,Yes,No,46,Basic,Annual,Yes,Electronic check,30.26,1391.96,2,14,77.8,Yes,No,No,No
CUST-0201,Male,66,0,Yes,No,61,Basic,Annual,No,Electronic check,26.3,1604.3,0,30,229.6,Yes,Yes,No,No
CUST-0202,Female,37,0,Yes,Yes,72,Premium,Monthly,No,Mailed check,95.32,6863.04,0,23,119.8,No,No,Yes,No
CUST-0203,Male,69,1,Yes,Yes,29,Basic,Annual,Yes,Bank transfer,52.17,1512.93,1,27,182.2,Yes,No,Yes,No
CUST-0204,Male,30,0,No,No,50,Basic,Annual,Yes,Mailed check,64.02,3201.0,0,30,202.5,Yes,No,No,No
CUST-0205,Female,34,0,No,No,23,Premium,Annual,Yes,Electronic check,81.85,1882.55,4,15,102.8,No,No,Yes,No
CUST-0206,Male,71,1,Yes,Yes,2,Premium,Monthly,Yes,Bank transfer,83.97,167.94,5,8,53.8,No,No,Yes,Yes
